number,value,datetime_start,datetime_complete,duration,params_act_fn,params_d_h1,params_d_h2,params_d_h3,params_dropout,params_lr,params_n_layers,params_optimizer_name,params_use_bn,params_weight_decay,state
29,0.9879606497127379,2025-11-15 17:17:45.886018,2025-11-15 17:17:51.018081,0 days 00:00:05.132063,GELU,128,128,,0.30000000000000004,0.0034869278395563744,2,AdamW,False,0.00019676498459483596,COMPLETE
30,0.9878409587748916,2025-11-15 17:17:51.018415,2025-11-15 17:18:04.329233,0 days 00:00:13.310818,GELU,128,128,,0.2,0.007666628506463861,2,SGD,False,0.00010712349031102462,COMPLETE
31,0.9841035171474577,2025-11-15 17:18:04.329687,2025-11-15 17:18:09.985779,0 days 00:00:05.656092,GELU,128,128,,0.2,0.005214903078839411,2,AdamW,True,0.0002135931443546883,COMPLETE
32,0.9827744551838247,2025-11-15 17:18:09.986139,2025-11-15 17:18:16.146368,0 days 00:00:06.160229,GELU,128,128,,0.2,0.0037449042219104057,2,AdamW,True,0.0005098811055469814,COMPLETE
33,0.9862782800144144,2025-11-15 17:18:16.146854,2025-11-15 17:18:19.689100,0 days 00:00:03.542246,GELU,128,128,,0.1,0.0035068092932706127,2,AdamW,True,6.397173719091782e-05,COMPLETE
34,0.9816506817736433,2025-11-15 17:18:19.689519,2025-11-15 17:18:28.531617,0 days 00:00:08.842098,GELU,128,128,,0.5,0.0032649732015430453,2,AdamW,True,0.0005067539737783822,COMPLETE
35,0.9818045440810679,2025-11-15 17:18:28.532072,2025-11-15 17:18:39.281281,0 days 00:00:10.749209,GELU,128,128,,0.5,0.001892943576376932,2,AdamW,True,0.0004703203387542043,COMPLETE
36,0.9811638732662116,2025-11-15 17:18:39.281717,2025-11-15 17:18:52.164443,0 days 00:00:12.882726,GELU,128,128,32.0,0.5,0.0017927295919577047,3,AdamW,True,5.437969735810087e-05,COMPLETE
37,0.981266332046868,2025-11-15 17:18:52.164808,2025-11-15 17:19:05.410139,0 days 00:00:13.245331,GELU,128,128,32.0,0.5,0.001775133576667685,3,AdamW,True,4.787397170892123e-05,COMPLETE
38,0.9812084334848173,2025-11-15 17:19:05.410490,2025-11-15 17:19:18.756924,0 days 00:00:13.346434,GELU,128,128,32.0,0.5,0.001675515615184552,3,AdamW,True,1.0447893525584936e-05,COMPLETE
39,0.9821959191373646,2025-11-15 17:19:18.757420,2025-11-15 17:19:33.077816,0 days 00:00:14.320396,GELU,128,128,32.0,0.5,0.0011083663921540616,3,AdamW,True,4.180985035684819e-05,COMPLETE
40,0.9814248408437309,2025-11-15 17:19:33.078215,2025-11-15 17:19:46.716629,0 days 00:00:13.638414,GELU,128,128,32.0,0.5,0.0013542523597207948,3,AdamW,True,1.0201601521382601e-05,COMPLETE
41,0.9814131177059738,2025-11-15 17:19:46.717006,2025-11-15 17:19:59.900512,0 days 00:00:13.183506,GELU,128,128,32.0,0.5,0.0014328038003028213,3,AdamW,True,1.0176682782053233e-05,COMPLETE
42,0.9827902349121368,2025-11-15 17:19:59.900936,2025-11-15 17:20:12.811545,0 days 00:00:12.910609,GELU,128,128,32.0,0.4,0.0008560020353781067,3,AdamW,True,1.1137995769027251e-05,COMPLETE
43,0.9811866636233479,2025-11-15 17:20:12.811952,2025-11-15 17:20:25.422107,0 days 00:00:12.610155,GELU,128,128,32.0,0.4,0.001482561979656386,3,AdamW,True,1.1222154839339352e-05,COMPLETE
44,0.9813906106713641,2025-11-15 17:20:25.422509,2025-11-15 17:20:38.287848,0 days 00:00:12.865339,GELU,128,128,32.0,0.4,0.001974549594125732,3,AdamW,True,1.599698325328139e-05,COMPLETE
45,0.9813181389073086,2025-11-15 17:20:38.288213,2025-11-15 17:20:50.838588,0 days 00:00:12.550375,GELU,128,128,32.0,0.4,0.0018893122305117924,3,AdamW,True,1.7310340246221187e-05,COMPLETE
46,0.9835857166303112,2025-11-15 17:20:50.838966,2025-11-15 17:21:07.886693,0 days 00:00:17.047727,GELU,128,128,32.0,0.4,0.000646753442042438,3,AdamW,True,3.30487614070935e-05,COMPLETE
47,0.981513625035906,2025-11-15 17:21:07.887082,2025-11-15 17:21:20.973948,0 days 00:00:13.086866,GELU,128,128,32.0,0.4,0.001228466456821474,3,AdamW,True,2.1229852346011004e-05,COMPLETE
48,0.9812343056426455,2025-11-15 17:21:20.974411,2025-11-15 17:21:34.078183,0 days 00:00:13.103772,GELU,128,128,32.0,0.5,0.0016998250169672888,3,AdamW,True,4.783720817004686e-05,COMPLETE
49,0.9843161720866045,2025-11-15 17:21:34.078571,2025-11-15 17:21:47.347745,0 days 00:00:13.269174,GELU,128,128,32.0,0.5,0.0008580963094923708,3,AdamW,True,5.5419557411274906e-05,COMPLETE
