name,d_hidden,dropout,use_bn,init_method,weight_decay,optimizer_name,best_epoch,total_epochs,best_val_loss,best_val_acc,test_acc,test_loss,test_precision(1),test_recall(1),test_f1-score(1),lr,act_fn
12. Mejor Modelo + SiLU,"(128, 64)",0.5,True,,0.001,AdamW,48,58,0.6139177337302012,0.65947786509908,0.6632614453272796,0.6129815155459989,0.6602167182662538,0.6541411042944786,0.6571648690292758,0.001,<class 'torch.nn.modules.activation.SiLU'>
"7. Red Profunda (128, 64, 32) + Regs","(128, 64, 32)",0.3,True,he,0.0001,AdamW,43,53,0.6158266363235331,0.6603607007196984,0.6606129398410897,0.615933891265623,0.6542835481425322,0.6618098159509203,0.6580251620282119,,
11. Mejor Modelo + GELU,"(128, 64)",0.5,True,,0.001,AdamW,42,52,0.614545163064575,0.6626308478207347,0.6602345819144911,0.6140734226472916,0.6516434262948207,0.6689672801635992,0.6601917255297679,0.001,<class 'torch.nn.modules.activation.GELU'>
10. AdamW + Alta Regularización,"(128, 64)",0.5,True,he,0.001,AdamW,42,52,0.6158214728353243,0.6626308478207347,0.6599823432967588,0.6151123835194495,0.6472868217054264,0.6830265848670757,0.6646766169154229,,
"8. Red Ancha (256, 128) + Regs","(256, 128)",0.3,True,he,0.0001,AdamW,22,32,0.6147697746325207,0.659982342086474,0.659477866061294,0.6141948969133438,0.6559444158517757,0.6515848670756647,0.6537573736855604,,
3. AdamW + Dropout (0.5),"(64, 64)",0.5,False,he,0.0,AdamW,58,68,0.6190775565503299,0.6601084611848559,0.6593517467524278,0.6182821393013,0.6584663700601937,0.6431492842535788,0.6507177033492823,,
"2. Base SGD (64, 64) + L2 leve","(64, 64)",0.0,False,he,0.0001,SGD,72,82,0.6324494977153133,0.6467398153997367,0.6496405599697314,0.6365641567014879,0.6426774031202819,0.6528629856850716,0.6477301547045397,,
5. AdamW + Batch Norm,"(64, 64)",0.0,True,he,0.0,AdamW,9,19,0.6273289153563569,0.6500189164755609,0.6496405599697314,0.6260192355801982,0.6548334243582742,0.6129856850715747,0.6332189067863745,,
6. AdamW + Xavier Init,"(64, 64)",0.0,False,xavier,0.0,AdamW,7,17,0.6283558094496985,0.6486316045365879,0.6486316054988018,0.6263743946629186,0.6511003757380569,0.6201431492842536,0.6352448284891333,,
"1. Base AdamW (64, 64)","(64, 64)",0.0,False,he,0.0,AdamW,12,22,0.6375020676564863,0.6401816104215847,0.6451002648505486,0.6328269896968719,0.6531808035714286,0.5984151329243353,0.6245997865528282,,
4. AdamW + L2 (1e-3),"(64, 64)",0.0,False,he,0.001,AdamW,12,22,0.6382020291531577,0.6413166858251165,0.6445957876150838,0.6327378365301317,0.6521981079577073,0.5991820040899796,0.6245670130562216,,
"9. Red Profunda (128, 64, 32) + SGD","(128, 64, 32)",0.3,True,he,0.0001,SGD,97,100,0.6392826316771313,0.6410644460046167,0.6385420607895069,0.6394620903076664,0.6347243688820196,0.6298568507157464,0.632281241981011,,
