number,value,datetime_start,datetime_complete,duration,params_act_fn,params_d_h1,params_d_h2,params_d_h3,params_dropout,params_lr,params_n_layers,params_optimizer_name,params_use_bn,params_weight_decay,state
29,0.6636771281738453,2025-11-15 19:36:16.841023,2025-11-15 19:36:21.198685,0 days 00:00:04.357662,GELU,64,128,,0.2,0.0005347797752942416,2,AdamW,False,0.0031076839836306717,COMPLETE
30,0.6687219709558871,2025-11-15 19:36:21.199074,2025-11-15 19:36:27.878143,0 days 00:00:06.679069,ReLU,128,64,,0.1,0.0003475652038017826,2,AdamW,True,2.268308470331112e-05,COMPLETE
31,0.6642376676268642,2025-11-15 19:36:27.878523,2025-11-15 19:36:31.693030,0 days 00:00:03.814507,ReLU,128,64,,0.0,0.0003095242341410017,2,AdamW,True,2.2945642871436706e-05,COMPLETE
32,0.6631165916609657,2025-11-15 19:36:31.693449,2025-11-15 19:36:39.436412,0 days 00:00:07.742963,ReLU,128,64,,0.1,0.00010175747692928957,2,AdamW,True,2.6799195397426462e-05,COMPLETE
33,0.6642376646867247,2025-11-15 19:36:39.436818,2025-11-15 19:36:45.066724,0 days 00:00:05.629906,ReLU,128,128,,0.2,0.0006922292103900668,2,AdamW,True,1.0560741148790056e-05,COMPLETE
34,0.6563901313217232,2025-11-15 19:36:45.067135,2025-11-15 19:36:49.907951,0 days 00:00:04.840816,ReLU,64,64,,0.1,0.00031306679829545613,2,AdamW,True,6.224719316818218e-05,COMPLETE
35,0.6647982030706021,2025-11-15 19:36:49.908480,2025-11-15 19:37:08.397209,0 days 00:00:18.488729,ReLU,128,64,,0.30000000000000004,0.0001551684986436355,2,AdamW,False,0.0003546509025533325,COMPLETE
36,0.6597533640305557,2025-11-15 19:37:08.397579,2025-11-15 19:37:23.151230,0 days 00:00:14.753651,ReLU,64,128,,0.0,0.0010317533766092898,2,SGD,True,2.959983076347884e-05,COMPLETE
37,0.6617152436966319,2025-11-15 19:37:23.151596,2025-11-15 19:37:34.162384,0 days 00:00:11.010788,SiLU,128,64,16.0,0.2,0.0004078727117459857,3,AdamW,True,0.00012394812551234002,COMPLETE
38,0.6580717494134946,2025-11-15 19:37:34.162827,2025-11-15 19:37:53.564779,0 days 00:00:19.401952,SiLU,128,64,,0.30000000000000004,0.0008114019592572714,2,SGD,False,1.3575546865845539e-05,COMPLETE
39,0.6619955114185008,2025-11-15 19:37:53.565157,2025-11-15 19:38:14.205101,0 days 00:00:20.639944,ReLU,64,32,,0.2,0.00023784476494817647,2,AdamW,True,6.268467551246028e-05,COMPLETE
40,0.6569506726457399,2025-11-15 19:38:14.205546,2025-11-15 19:38:41.686135,0 days 00:00:27.480589,GELU,128,64,16.0,0.4,0.0013975118068475137,3,SGD,True,0.0007856844436675663,COMPLETE
41,0.6645179326758791,2025-11-15 19:38:41.686523,2025-11-15 19:38:48.651251,0 days 00:00:06.964728,SiLU,128,64,,0.5,0.007087788757717432,2,AdamW,True,0.00018880624073594346,COMPLETE
42,0.6614349751729067,2025-11-15 19:38:48.651643,2025-11-15 19:38:55.439688,0 days 00:00:06.788045,SiLU,128,64,,0.4,0.002146757078599973,2,AdamW,True,0.00013499667492076033,COMPLETE
43,0.6631165879189701,2025-11-15 19:38:55.440055,2025-11-15 19:39:02.348282,0 days 00:00:06.908227,SiLU,128,64,,0.5,0.005401020592645256,2,AdamW,True,0.00040357857775031556,COMPLETE
44,0.6628363193952449,2025-11-15 19:39:02.348647,2025-11-15 19:39:07.369364,0 days 00:00:05.020717,SiLU,128,32,,0.30000000000000004,0.0015263028732061903,2,AdamW,True,8.280003515136567e-05,COMPLETE
45,0.6645179334777354,2025-11-15 19:39:07.369902,2025-11-15 19:39:26.192412,0 days 00:00:18.822510,SiLU,256,64,,0.4,0.00022240909614264188,2,AdamW,True,0.0004934043072724381,COMPLETE
46,0.6647982041397437,2025-11-15 19:39:26.192862,2025-11-15 19:39:45.570804,0 days 00:00:19.377942,SiLU,128,128,,0.5,0.000157700088615849,2,AdamW,True,0.0009692454418343587,COMPLETE
47,0.6673206261989781,2025-11-15 19:39:45.571284,2025-11-15 19:39:58.214911,0 days 00:00:12.643627,SiLU,128,64,,0.1,0.003247667959728961,2,SGD,True,0.0002544929208375419,COMPLETE
48,0.6647982046743145,2025-11-15 19:39:58.215320,2025-11-15 19:40:08.621329,0 days 00:00:10.406009,SiLU,128,32,64.0,0.4,0.00036368943928180087,3,AdamW,True,0.00031761863174280453,COMPLETE
49,0.6552690566922517,2025-11-15 19:40:08.621799,2025-11-15 19:40:11.853480,0 days 00:00:03.231681,GELU,128,64,,0.5,0.009837558299543962,2,AdamW,False,3.465528646688601e-05,COMPLETE
